country,period,log_rel_flu_level,cov_daily_cases,workplace_presence_reduction,idvi,age,T,RH,latitude,longitude,nb_days_school_closure,nb_days_workplace_closure,nb_days_public_event_restrictions,nb_days_gathering_restrictions,nb_days_public_transport_restrictions,nb_days_stay_at_home_requirements,nb_days_facial_covering_requirements,nb_days_elderly_shielding,nb_days_international_travel_restrictions,nb_days_testing_implementation,nb_days_contact_tracing_implementation
Australia,spring2020,-1.4353399520079493,2.999065934065934,23.56050955414013,0.912517,37.9,289.620483059447,68.46221485001841,-33.61287798943694,144.9963756122215,22.0,0.0,86.0,64.0,0.0,19.0,0.0,15.0,91.0,49.0,91.0
Australia,spring2021,-3.312722787035185,0.4823736263736263,1.9560810810810807,0.912517,37.9,289.8612579827427,68.73103454462448,-33.61287798943694,144.9963756122215,13.0,20.0,0.0,0.0,0.0,0.0,0.0,51.0,91.0,0.0,91.0
Australia,summer2020,-3.136512500728371,8.24854945054945,13.287610619469026,0.912517,37.9,286.2468735667965,70.10005245203999,-33.61287798943694,144.9963756122215,54.0,43.0,0.0,0.0,0.0,0.0,0.0,8.0,91.0,91.0,91.0
Australia,summer2021,-3.036472212463871,19.201648351648352,12.7003367003367,0.912517,37.9,286.6113337672979,68.36312583322339,-33.61287798943694,144.9963756122215,0.0,34.0,0.0,0.0,0.0,0.0,0.0,83.0,91.0,0.0,91.0
Australia,winter2021,-2.9744744817206685,0.4658131868131868,7.68013468013468,0.912517,37.9,294.04496262009525,69.5237487124306,-33.61287798943694,144.9963756122215,10.0,34.0,0.0,0.0,0.0,5.0,0.0,62.0,91.0,0.0,91.0
Austria,spring2020,-0.3092777438298136,19.74556043956044,41.52040816326531,0.874243,44.4,286.75738525390625,58.83684539794922,48.206443,16.370725,79.0,91.0,91.0,91.0,56.0,46.0,0.0,91.0,91.0,0.0,77.0
Austria,spring2021,-2.16891857120748,188.41695604395605,20.448979591836736,0.874243,44.4,285.1957702636719,65.29326629638672,48.206443,16.370725,35.0,91.0,26.0,91.0,91.0,62.0,87.0,91.0,91.0,91.0,91.0
Austria,winter2021,-2.6245695443633403,207.92431868131868,30.350515463917525,0.874243,44.4,277.1112670898437,80.28779602050781,48.206443,16.370725,51.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,85.0,91.0
Bangladesh,autumn2020,0.233584187115061,10.110791208791207,-1.0,0.422107,27.5,299.1678726750726,73.29364473615959,23.56723150202803,90.57264753214828,91.0,91.0,57.0,0.0,57.0,0.0,91.0,0.0,91.0,0.0,0.0
Bangladesh,spring2020,-1.0257194476318037,5.78276923076923,40.0,0.422107,27.5,300.40777589964307,74.35942464080362,23.56723150202803,90.57264753214828,91.0,73.0,86.0,88.0,65.0,82.0,16.0,0.0,76.0,0.0,0.0
Bangladesh,spring2021,-0.3948330089833751,17.809846153846156,-12.0,0.422107,27.5,301.63112094655986,68.9910299682329,23.56723150202803,90.57264753214828,91.0,15.0,76.0,76.0,76.0,76.0,91.0,15.0,1.0,91.0,41.0
Bangladesh,summer2020,-0.582807277438417,16.519527472527475,13.0,0.422107,27.5,301.0642699086424,85.59605415682637,23.56723150202803,90.57264753214828,91.0,60.0,91.0,1.0,91.0,1.0,91.0,0.0,91.0,0.0,0.0
Bangladesh,summer2021,-0.5871714949232064,46.48535164835165,-12.0,0.422107,27.5,300.81786143855345,85.55871467210517,23.56723150202803,90.57264753214828,90.0,55.0,83.0,83.0,55.0,83.0,91.0,31.0,36.0,91.0,46.0
Belarus,spring2021,-2.0911093476767144,120.26054945054946,14.0,0.616419,40.3,282.9309077046846,70.97984616923732,53.64323574369774,27.834443551481325,0.0,0.0,0.0,91.0,0.0,91.0,20.0,0.0,91.0,91.0,91.0
Belarus,winter2021,-2.582663238081945,165.28317582417583,19.0,0.616419,40.3,270.0526451030303,89.88963962656815,53.64323574369774,27.834443551481325,0.0,0.0,0.0,91.0,0.0,91.0,0.0,0.0,91.0,91.0,91.0
Bolivia (Plurinational State of),autumn2020,-1.536812175981714,18.907010989010992,10.8,0.500436,25.4,299.19737527205746,58.442524705563336,-17.24265734971056,-65.95110691228105,91.0,91.0,78.0,78.0,11.0,91.0,91.0,78.0,0.0,0.0,0.0
