"minbucket","cp","mean_err","sd_err","nsplits"
12,0.009,0.609819558709389,0.0900054687071974,8
12,0.01,0.610136215436498,0.0907306184516229,8
12,0.011,0.613133379268865,0.0915767241466682,7
12,0.012,0.611862248386606,0.0902515482374252,7
12,0.013,0.612327098335129,0.089140837767928,7
12,0.014,0.615459021425632,0.0897973427332161,6
13,0,0.61336664758999,0.0882701100016475,9
13,0.001,0.611364849596669,0.0885127670559849,9
13,0.002,0.616480223200163,0.0915583013215505,9
13,0.003,0.614694211632038,0.0902429469682642,9
13,0.004,0.615196966402161,0.0899648179908,9
13,0.005,0.614157772875559,0.0903582999676144,8
13,0.006,0.609978819770141,0.0919077251844181,8
13,0.007,0.612679155635659,0.0914564293650434,8
13,0.008,0.612288398674452,0.0879921249774908,8
13,0.009,0.613150929142256,0.0891237982399085,7
13,0.01,0.613409985668965,0.088302693442535,7
13,0.011,0.613025122682165,0.0880335556716799,7
13,0.012,0.611702990585692,0.0902491612118496,7
13,0.013,0.616730024001511,0.0911845954922379,6
13,0.014,0.615810207228883,0.0896456153869875,6
14,0,0.614779767326616,0.0894425174526959,8
14,0.001,0.615541261087169,0.0886220304955748,8
14,0.002,0.616268913688213,0.0886525525133535,8
14,0.003,0.618287586499516,0.0913964868378232,8
14,0.004,0.615489652629206,0.0880672939296198,8
14,0.005,0.615243885469394,0.0879436825639542,8
14,0.006,0.615169461465683,0.09082809596502,8
14,0.007,0.614791887784179,0.0870954538101067,8
14,0.008,0.617061742455688,0.0902114712586075,7
14,0.009,0.617502559737981,0.0887551495607204,7
14,0.01,0.617369184906506,0.0882627367917713,7
14,0.011,0.615701842716696,0.0881947857284403,7
14,0.012,0.617881990501516,0.0885420425844665,6
14,0.013,0.618939012041484,0.0900858348779857,6
14,0.014,0.62217386439978,0.0911611426739779,6
15,0,0.61865114860616,0.0874772937575591,8
15,0.001,0.619994458069415,0.0870390491122441,8
15,0.002,0.619597216429325,0.0863178513523555,8
15,0.003,0.620402541139244,0.0869824074883768,8
15,0.004,0.618483539807199,0.0874782247282179,7
15,0.005,0.620315783980669,0.0873434061934079,7
15,0.006,0.621631631446877,0.0877923704625469,7
15,0.007,0.619071239751351,0.0879494171103562,7
15,0.008,0.620169928389429,0.087850391044474,7
15,0.009,0.622976536974915,0.0881037994341482,7
15,0.01,0.620047483103218,0.0871674196905807,7
15,0.011,0.623342094760606,0.0896756852934789,6
15,0.012,0.624475328597524,0.0880268110576427,6
15,0.013,0.621657321258289,0.0867910573933813,6
15,0.014,0.625006998287515,0.0870495054311883,6
16,0,0.622240439642918,0.0836810998696555,7
16,0.001,0.624339585225792,0.0840186431839775,7
16,0.002,0.624270253193313,0.0874564191298872,7
16,0.003,0.624740584395386,0.0841559928387633,7
16,0.004,0.624898922441276,0.0820699984360124,7
16,0.005,0.62399940447158,0.0831201279604462,7
16,0.006,0.626432539916501,0.0862153812769132,7
16,0.007,0.624463328830074,0.0837920613536567,7
16,0.008,0.626069958286658,0.0845261224649358,7
16,0.009,0.625846293988543,0.0850229873135445,6
16,0.01,0.62833489635396,0.0860758487111734,6
16,0.011,0.628472139257428,0.0840511895969998,6
16,0.012,0.629063103769948,0.0864424305923356,6
16,0.013,0.627617147018507,0.0858204635964147,6
16,0.014,0.63024800889397,0.0854488819149468,6
17,0,0.629448026415938,0.081260797059778,7
17,0.001,0.630783414086801,0.0827004871813959,7
17,0.002,0.62885661068655,0.0826965769746613,7
17,0.003,0.630725751052114,0.0847798194525323,7
17,0.004,0.629950082543378,0.0835166071185163,7
17,0.005,0.628396260915021,0.0829573495105722,7
17,0.006,0.629791432237794,0.0824874579951382,6
17,0.007,0.630292512955981,0.0830879204398658,6
17,0.008,0.630567362583968,0.0839250922337982,6
17,0.009,0.630961148413668,0.0844050923708734,6
17,0.01,0.631567275506116,0.0830982975829003,6
17,0.011,0.635273342532988,0.083344186654021,6
17,0.012,0.634051125843599,0.0832537873599729,6
17,0.013,0.634765206893028,0.0836149342577498,5
17,0.014,0.636433931603179,0.0832889285296803,5
18,0,0.631355607255901,0.0842010020048833,6
18,0.001,0.632193562016008,0.0831368578405997,6
18,0.002,0.629946485579902,0.0810839329521552,6
18,0.003,0.62913819799953,0.0829007569642606,6
18,0.004,0.630515138082161,0.082000805058346,6
18,0.005,0.631998528628902,0.0819346884588397,6
18,0.006,0.631561663987077,0.0824614290858243,6
18,0.007,0.631138145285735,0.0822668816137978,6
18,0.008,0.634267716000715,0.0810812419630293,6
18,0.009,0.634531014617646,0.0835435592620432,6
18,0.01,0.633830647065899,0.0820080259342673,6
18,0.011,0.635326923103887,0.0817933845866235,6
18,0.012,0.634367163881951,0.0831256201493306,5
18,0.013,0.636381220820928,0.0813750997191831,5
18,0.014,0.635921229509626,0.0807048106552025,5
18,0.015,0.639011287516175,0.0834125711391003,5
18,0.016,0.637931103598555,0.0808822415934055,5
18,0.017,0.637801613905094,0.0832401754310604,5
18,0.018,0.63844903754684,0.0821293933789254,5
18,0.019,0.641125366999116,0.0812086042166477,5
18,0.02,0.642542435680345,0.0851352909393212,5
18,0.021,0.642467425627803,0.0828459816284479,5
18,0.022,0.643950462561902,0.0833738265964666,4
18,0.023,0.644017683776629,0.0832581591299025,4
18,0.024,0.647621986775129,0.0857484224987457,4
18,0.025,0.646126956345619,0.0848009024981076,4
